"Countries","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Brunei Darussalam",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0303030303030303,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0450236966824645,0.0121457489878543,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141906873614191,NA,NA,NA,NA,NA,NA,0.133425034387895,0,NA,0.5,0.0265486725663717,0.00255754475703325,0,0,0,0,0,0.00540540540540541,0.00934579439252336,0.00601684717208183,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.0141843971631206,0.0207217012726055,0.0284847298355521,0.018796992481203,0,0,0,0.00364963503649635,0,0.00974212034383954,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.00502793296089385,0,0,NA,0.00214362272240086,0,0
"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234972677595628,NA,0.165125298329356,NA,NA,NA,NA,0.0476190476190476,NA,NA,0.0139877924720244,0.0237099023709902,0,0.0362869198312236,NA,NA,NA,NA,0,0.0833333333333333,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0170360568971221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.415559772296015,0.0555555555555556,0.0215154349859682,0.00492610837438424,NA,NA
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22435174746336,NA,NA,NA,NA,0.252293577981651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251309183177671,0.00304634051891055,0.031352057478772,NA,0.0299760191846523,0,0.00616908153740006,0.0457274826789838,0.0253389642142698,0,0.170731707317073,NA,0,NA,NA,0.00501824817518248,0.0166163141993958,0.00422119037568594,0.011786766675596,0,0.00353803386403841,8.7948813790374e-05,0.000137779002480022,0.00738552437223043
"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536585365853659,0.272101033295063,0.186915887850467,0.155140186915888,0.211656441717791,NA,0.176470588235294,0.198571428571429,0.162962962962963,0.41786283891547,0.209604802401201,0.153130970070049,0.156726674627673,0.0587602321202106,0.0945170468245166,0.0767768202203071,0.0645841411399767,0.0455820476858345,0.0474585790508284,0.0408673008449806,0.0270709258256632,0.0252261087501362,0.0514868636319892,0.0250144592249855,0.00744855447544502,0.0179628064243449,0.0328157784305497,0.0273141122913505,0,0,0,0.00886810706223799,0,0.00701459034792368,0,NA,0,0,NA,NA,NA,0.0106951871657754,NA,NA,NA,0.0142002989536622,NA,NA,0.0268123138033764,NA,NA,NA,NA,NA,NA,NA,NA
"Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141590244885619,0.129235497502881,0.108821311887409,0.092201166180758,0.0977952412137088,0.0518912754229234,0.0319214241866176,0.0319339791890922,0.0687865022712524,0.034703196347032,0.0304044630404463,0.013926084627745,0.157394366197183,0.0190751445086705,0.0220588235294118,0.127186009538951,0.132061628760088,0.0866477272727273,0.321766561514196,0.0729665071770335,0.0590277777777778,0.0333333333333333,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0,0.0141242937853107,0.00808383233532934,0.00472255017709563,0.00998573466476462,0,0.0233196159122085,0,0.0218181818181818,0,NA,NA,0.00562851782363977,0.0143884892086331,0.0151515151515152,NA,NA,NA,0.0606060606060606,0.025,0.00751072961373391,0,0.00175940180338685,NA,0
"Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358855375096674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0229943791517629,0.0105590752473047,0.00130293159609121,NA,NA,NA,NA,NA
"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0.0192307692307692,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
"Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091566265060241,0.0909090909090909,NA,NA,NA,NA,0.0890767230169051,0.0484210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0275862068965517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0353982300884956,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,0
"Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0540540540540541,0,NA,NA,NA,NA,0.0022075055187638,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Iran (Islamic Republic of)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.0301724137931034,0.0200125078173859,0.0178985747431223,0,0,0.00941619585687382,0.00745033112582781,0.05,0.0135593220338983,0.0308641975308642,0.0162772883952509,0.0168539325842697,0.0169133192389006,0.0412371134020619,0.00371195248700817,0,0.0271015158474966,NA,0.0081374321880651,0.0037037037037037,0.0153396639883126,0.00869565217391304,0,0,0,0.0106382978723404,0.00970873786407767,NA,0,0.0555555555555556,NA,NA,0.0101095197978096,0,0.02734375,NA,0.0116279069767442,NA
